data_index,contribution_score
0,1.5323598
1,2.6841497
2,2.428676
3,2.598648
4,2.0614214
5,1.983328
6,2.6056416
7,2.311928
8,2.501525
9,2.4092867
10,2.2335198
11,2.2475314
12,2.2916203
13,2.4446301
14,2.603561
15,2.5118835
16,2.1438887
17,2.0128875
18,2.1537654
19,2.1173139
20,2.275168
21,2.7320619
22,2.15244
23,2.5544243
24,2.2762942
25,2.1552775
26,2.5090718
27,2.3314893
28,2.0719573
29,2.4083672
30,2.1912582
31,2.0128593
32,2.317859
33,2.0190134
34,2.716341
35,2.3343625
36,2.2486613
37,2.5084052
38,2.4254549
39,2.430145
40,2.5946412
41,2.13332
42,2.550115
43,2.1313493
44,2.414461
45,2.1130729
46,2.0986485
47,2.1324613
48,1.8036859
49,2.344431
50,2.1737638
51,2.7720358
52,2.2728758
53,2.1637933
54,1.4563726
55,1.9592227
56,2.700412
57,2.1120021
58,2.4534664
59,2.6283362
60,2.4946237
61,2.381605
62,2.1530569
63,2.658379
64,2.3998413
65,2.297514
66,2.2793345
67,2.630195
68,2.6955655
69,2.5656896
70,2.4412498
71,2.4974482
72,2.568468
73,2.3960571
74,2.3335607
75,2.6150866
76,2.0735207
77,2.5917654
78,2.6359978
79,2.5765135
80,-0.4012376
81,2.6171072
82,2.1573339
83,2.424198
84,2.5451024
85,2.1032426
86,2.231846
87,2.0731792
88,2.6448932
89,2.4054732
90,2.34038
91,2.6330526
92,2.5451467
93,2.4185128
94,2.0662322
95,2.576117
96,2.5592995
97,2.0911448
98,2.343738
99,2.5838883
100,2.2149513
101,2.4882877
102,2.5743158
103,2.4600458
104,2.5803828
105,2.660348
106,2.223968
107,2.298398
108,2.6765416
109,2.0322266
110,2.061153
111,2.464441
112,2.5291808
113,2.57016
114,2.5736601
115,2.3941467
116,2.0513713
117,1.7518501
118,2.7347982
119,2.6420715
120,2.1297483
121,2.7105715
122,2.1707106
123,2.5010414
124,2.6168616
125,2.2450206
126,2.073613
127,2.5767233
128,2.5310428
129,2.2288606
130,2.4479058
131,2.393115
132,-3.8298466
133,2.0782769
134,2.4164677
135,2.3866003
136,2.3325071
137,2.023118
138,2.5250552
139,2.4165137
140,2.4374447
141,2.3610249
142,2.3482637
143,2.025354
144,2.1508262
145,2.3075166
146,1.9994272
147,2.3654752
148,0.44104874
149,2.4499955
150,2.5463624
151,2.3864803
152,2.5766313
153,2.1343663
154,2.0628679
155,2.399597
156,2.599145
157,2.4153738
158,2.4482343
159,2.054225
160,1.8225338
161,2.0010548
162,2.0602098
163,2.3425868
164,2.3029156
165,2.3488884
166,2.405625
167,2.0171144
168,2.6872022
169,2.4506562
170,2.0947173
171,2.0082893
172,2.04163
173,2.2977288
174,2.5756342
175,2.3240166
176,2.1357145
177,2.619975
178,1.4501921
179,2.3298962
180,1.9868757
181,2.2542253
182,2.3911693
183,2.0386825
184,2.5571713
185,2.551568
186,2.3256483
187,1.9763898
188,2.173418
189,2.030034
190,1.7914081
191,2.240145
192,2.6513925
193,2.5284162
194,2.266779
195,2.0577269
196,2.3668108
197,1.9847115
198,2.3703291
199,1.9899375
200,2.6223583
201,2.530633
202,2.0214367
203,2.311671
204,2.4014816
205,2.5188737
206,2.8000462
207,2.2642522
208,2.4847069
209,2.802038
210,2.6554058
211,2.634592
212,2.267779
213,2.0539603
214,2.2156768
215,2.424238
216,2.5997634
217,2.4515107
218,2.4796383
219,2.2921488
220,2.0710597
221,2.4777088
222,2.4248328
223,2.6740785
224,2.5179553
225,2.05822
226,2.0738504
227,2.076556
228,2.2418075
229,2.6925805
230,2.5205781
231,2.6756806
232,2.3710628
233,2.037453
234,2.823706
235,2.3658051
236,2.18278
237,2.3461833
238,2.3385944
239,2.3274229
240,2.0168548
241,2.3173752
242,2.3386936
243,2.6147068
244,2.365656
245,1.9875683
246,2.7156372
247,2.0992603
248,2.698952
249,2.6160738
250,2.0970883
251,2.579793
252,2.0019164
253,2.0569887
254,2.193601
255,2.357228
256,2.245014
257,2.4569016
258,2.5814703
259,2.3742678
260,2.6227205
261,2.3895702
262,1.5768037
263,2.638253
264,1.9790915
265,2.1100085
266,2.185628
267,2.1871667
268,1.8572305
269,2.656858
270,2.5960114
271,2.4083395
272,2.438447
273,2.3051035
274,2.1257126
275,2.3895497
276,2.5811887
277,1.9776053
278,2.1120033
279,2.2992027
280,2.0285225
281,2.390262
282,2.0317194
283,2.7355943
284,2.1930418
285,2.0797422
286,2.3761916
287,2.3597035
288,2.5786698
289,2.4209297
290,2.6464303
291,2.413353
292,2.5176172
293,2.6834385
294,2.2849333
295,1.9710852
296,2.5139422
297,2.4494536
298,2.3722248
299,2.5364451
300,2.1454635
301,2.6697948
302,2.3338087
303,2.615645
304,2.1445954
305,2.660379
306,2.3471909
307,2.6034431
308,2.131061
309,2.6305168
310,2.5319452
311,2.4168613
312,2.1904213
313,2.0876913
314,2.3286867
315,2.623169
316,2.1834056
317,2.0947654
318,1.848627
319,2.079429
320,2.582478
321,2.352717
322,1.9527192
323,2.3987253
324,2.4573681
325,2.029218
326,2.6514463
327,2.473338
328,2.4448888
329,2.4536245
330,2.3984156
331,2.4589548
332,2.2915473
333,2.1334746
334,2.0137377
335,2.3555195
336,2.4456308
337,2.6425145
338,2.4915571
339,2.0442097
340,2.4587662
341,2.369805
342,2.5039506
343,1.9257984
344,2.0847962
345,2.622136
346,2.0656435
347,2.0942683
348,2.1416898
349,2.4870129
350,2.157373
351,2.6635013
352,2.200972
353,2.6425276
354,2.4641829
355,2.526244
356,2.3398168
357,2.655124
358,2.5831962
359,2.5873818
360,2.1166904
361,2.334611
362,2.1684933
363,2.3477292
364,2.1528046
365,1.9460747
366,2.5650315
367,2.4358132
368,2.0475256
369,2.4537654
370,2.4656675
371,2.3437645
372,2.3858616
373,2.4084625
374,2.115292
375,2.026847
376,2.2378201
377,2.6328437
378,2.0625908
379,2.4075863
380,2.5430944
381,2.0473297
382,2.6081858
383,1.9860817
384,2.286266
385,1.964811
386,2.0810058
387,2.5905395
388,2.319784
389,2.033088
390,2.1131537
391,2.0835924
392,2.334776
393,2.1078684
394,2.620606
395,2.4296567
396,2.3007095
397,2.5257165
398,2.5050173
399,2.5666823
400,2.069417
401,2.370159
402,2.461313
403,2.3775601
404,2.103577
405,2.3329003
406,2.6594398
407,2.367916
408,2.6103766
409,2.0872252
410,2.1817267
411,2.6640263
412,2.4658308
413,2.4439654
414,2.4880495
415,2.2357273
416,2.581669
417,2.3352466
418,-0.7232473
419,2.1343365
420,-1.4576752
421,2.4347968
422,2.5731757
423,2.0793002
424,2.1222947
425,2.255779
426,2.5236444
427,2.6560943
428,2.132644
429,2.7891955
430,2.187084
431,2.4608088
432,2.1139634
433,2.327403
434,2.0336273
435,2.6822867
436,2.378923
437,2.3331027
438,2.3333406
439,2.0646288
440,2.875412
441,2.0828786
442,2.4743924
443,2.5341856
444,1.6313486
445,2.033506
446,2.3695242
447,2.5241227
448,1.944397
449,2.360383
450,2.6376667
451,2.4193587
452,2.1649618
453,2.5445468
454,2.5018482
455,2.6193879
456,2.026904
457,2.0023215
458,2.6835093
459,2.2355359
460,2.1294303
461,2.4484215
462,2.6776571
463,2.2761025
464,2.8235137
465,2.4144256
466,2.5339386
467,2.4545984
468,2.425776
469,2.161348
470,2.1817636
471,2.009068
472,2.1068895
473,2.6774917
474,2.3328068
475,2.5240207
476,1.9386226
477,2.0926182
478,2.5895905
479,2.4260643
480,2.3071318
481,2.5731094
482,2.081668
483,2.41258
484,2.4859853
485,2.1274064
486,2.2425938
487,2.0554714
488,1.8912811
489,2.442599
490,2.2934248
491,2.5215297
492,2.6822486
493,2.048308
494,-1.4294827
495,2.2968128
496,2.3465931
497,2.4901483
498,2.2749693
499,1.9731859
500,-0.6836581
501,2.0283005
502,2.1111581
503,2.0735073
504,2.3588572
505,2.5598843
506,2.3818655
507,2.541576
508,2.529005
509,2.2807968
510,2.6175542
511,2.650734
512,2.1695578
513,2.2510493
514,1.7609068
515,2.1024482
516,2.5379388
517,2.2046647
518,2.432779
519,2.5065484
520,2.0711722
521,2.506128
522,2.4543905
523,2.2644415
524,2.7820344
525,1.9690067
526,2.8335137
527,2.3325844
528,2.2032175
529,1.9681181
530,1.9759227
531,2.4886754
532,2.1427348
533,2.5108352
534,2.3959687
535,2.5664508
536,2.424783
537,2.2776642
538,2.5691502
539,2.0895147
540,2.1520324
541,2.411245
542,2.5314996
543,2.2717304
544,2.1890216
545,2.0817552
546,2.2165005
547,0.5474856
548,2.0990064
549,2.2449546
550,2.0741997
551,2.032477
552,2.5465899
553,2.5386336
554,2.428666
555,1.9934247
556,2.526317
557,2.3838966
558,2.057845
559,2.0832484
560,2.518503
561,2.2934933
562,2.1603904
563,1.9034255
564,2.3296688
565,2.3304112
566,2.1254358
567,2.580632
568,2.1012032
569,2.4682631
570,2.0420058
571,2.1308727
572,2.5515788
573,2.578244
574,2.320087
575,2.0682194
576,2.618699
577,2.5523584
578,2.2128248
579,2.1595201
580,2.070085
581,2.3210495
582,2.5786526
583,2.0305161
584,2.1181552
585,2.440852
586,2.4907506
587,2.4756043
588,2.01092
589,1.996521
590,2.5427217
591,1.8668709
592,2.413551
593,2.563883
594,2.1085458
595,1.969379
596,2.588981
597,2.4026747
598,2.3396697
599,2.4549365
600,2.08119
601,2.0463226
602,2.265334
603,2.4891126
604,2.563799
605,2.4386153
606,2.141101
607,2.2150915
608,2.4323747
609,2.5915613
610,2.2291307
611,2.6187644
612,2.4799583
613,2.2844968
614,2.4256256
615,2.0735083
616,2.3624485
617,2.612038
618,2.600967
619,2.1070707
620,2.350403
621,2.0197825
622,2.2171943
623,2.4281056
624,2.6590087
625,2.2194915
626,2.1635253
627,2.2137175
628,2.1134028
629,2.2655382
630,2.2447193
631,2.035217
632,2.41008
633,2.5693586
634,2.6418545
635,-1.1682246
636,2.5685747
637,2.5842273
638,2.5112474
639,2.640408
640,2.2793949
641,2.0879216
642,1.9383667
643,2.3462632
644,2.3634174
645,2.286103
646,2.196757
647,2.4262822
648,2.5988173
649,2.3817286
650,2.1351771
651,2.5379066
652,2.377068
653,2.2374196
654,2.5244834
655,2.4149818
656,2.6231918
657,1.9015526
658,2.2705343
659,2.2820616
660,2.2777848
661,2.36586
662,2.456873
663,2.4429247
664,2.0950685
665,2.2635164
666,2.414298
667,2.3765125
668,2.7663255
669,2.5985045
670,1.3049257
671,2.6294665
672,2.1162639
673,1.894088
674,2.1010916
675,2.3612223
676,2.5812893
677,2.3718584
678,2.4506137
679,2.4089487
680,2.4159584
681,2.2726424
682,2.4931033
683,2.626561
684,1.9488562
685,1.9654397
686,2.377764
687,2.0551193
688,2.0396411
689,2.627749
690,2.4735892
691,2.6122196
692,2.3589962
693,1.8923593
694,2.1295042
695,2.4103072
696,2.2536018
697,2.3924713
698,2.6304398
699,2.3480601
700,2.483399
701,2.3236613
702,2.6618905
703,2.574154
704,1.710024
705,2.1024575
706,2.4726825
707,1.9891071
708,2.177651
709,2.7685018
710,2.5364492
711,2.5625668
712,2.4958577
713,1.9339269
714,1.947653
715,2.3641539
716,1.9483694
717,2.3246427
718,2.260361
719,2.3426583
720,0.9436443
721,2.3471477
722,2.4415407
723,2.5932908
724,2.4493868
725,2.075339
726,2.1159565
727,2.0736291
728,2.5488288
729,2.4034219
730,2.6833389
731,2.4058728
732,2.1064017
733,2.5038095
734,1.9657292
735,2.2967334
736,2.1773407
737,2.4071193
738,2.475493
739,2.3199024
740,2.2599893
741,2.0830736
742,2.3601701
743,2.5564299
744,2.068541
745,2.393953
746,2.4387543
747,2.5426908
748,2.1171129
749,2.3397346
750,2.5600588
751,2.2912662
752,2.3346553
753,2.5692093
754,2.4470336
755,1.9854321
756,2.2331495
757,2.399168
758,2.1161947
759,2.3000457
760,2.15518
761,2.1210575
762,2.4507475
763,2.1047251
764,1.9550056
765,2.6004117
766,2.005616
767,2.2580075
768,2.2607622
769,1.9655167
770,2.3755996
771,2.4043949
772,2.0069027
773,2.6760492
774,2.1037989
775,2.347389
776,2.5950685
777,2.125069
778,1.1781912
779,2.5313592
780,2.627612
781,2.4301581
782,2.109341
783,2.506166
784,2.0427825
785,2.2082732
786,2.4648283
787,2.82579
788,1.6043719
789,2.3368804
790,2.6891818
791,1.978836
792,2.180986
793,2.0665038
794,2.3586311
795,2.5819376
796,2.177271
797,2.3423636
798,2.5681152
799,2.355004
800,2.2014217
801,1.8050259
802,2.361452
803,2.6233885
804,2.2341619
805,2.257202
806,2.1182227
807,1.9124596
808,2.197633
809,2.5876234
810,2.3704808
811,2.259168
812,2.0777426
813,1.9129695
814,2.0793643
815,2.3684385
816,2.2863786
817,2.1057496
818,2.5657895
819,2.591564
820,2.3769393
821,2.5183961
822,2.051484
823,1.9903831
824,2.5105734
825,2.4595294
826,2.0448864
827,2.065156
828,2.5669792
829,2.3655257
830,2.0882292
831,2.0941634
832,2.2436113
833,2.6229892
834,2.476122
835,2.5131333
836,2.1386898
837,2.4259386
838,2.5575702
839,2.6096702
840,2.2899878
841,2.2909298
842,2.489643
843,2.3909614
844,2.0365124
845,2.4588354
846,2.11603
847,2.458846
848,2.3956213
849,2.4716058
850,2.5565338
851,2.5066738
852,2.2656384
853,2.5971296
854,0.02002883
855,2.3329194
856,2.3187358
857,2.4660852
858,1.963757
859,2.5947444
860,2.4540603
861,2.3893962
862,2.0677762
863,2.0348735
864,2.1037176
865,2.1226542
866,1.9959838
867,2.3727794
868,2.4031272
869,2.5258522
870,2.585299
871,2.550819
872,2.7199326
873,2.0587966
874,2.2133677
875,2.3219817
876,2.1040747
877,2.3423321
878,2.287848
879,2.2570288
880,2.5001676
881,2.4771621
882,2.2985277
883,2.3214092
884,2.4805884
885,2.0159826
886,2.4844985
887,2.0105016
888,2.6023002
889,2.4992685
890,2.2355468
891,2.527346
892,0.43656492
893,1.9112402
894,2.5243108
895,2.2532177
896,2.456441
897,2.4818442
898,2.4915926
899,2.386871
900,2.1169782
901,2.4370046
902,1.8749726
903,2.386361
904,2.3773332
905,2.5796428
906,2.4709675
907,1.861217
908,2.347629
909,2.2748778
910,2.1403046
911,2.4589796
912,2.1903114
913,2.057372
914,2.335363
915,2.3697224
916,2.3283384
917,1.9295623
918,2.5963519
919,2.5371318
920,2.6664202
921,2.410021
922,2.2274737
923,2.027642
924,2.3698676
925,1.9816792
926,2.3937495
927,2.4554768
928,2.3970082
929,2.128547
930,2.103334
931,2.0024495
932,2.0312793
933,2.508571
934,2.446437
935,1.8555797
936,2.6253676
937,2.4358695
938,2.1107967
939,2.4815323
940,1.9964646
941,2.494224
942,2.4346085
943,2.3759832
944,2.4851367
945,2.4392352
946,2.0529678
947,2.38983
948,2.6124885
949,2.6351492
950,2.5506377
951,2.5352745
952,2.7072732
953,2.2664409
954,2.6057043
955,2.491037
956,2.3456166
957,2.4809833
958,2.3221765
959,2.5969002
960,2.3058605
961,2.4923806
962,2.390094
963,2.068067
964,2.2543461
965,2.4594789
966,1.9002066
967,2.4312701
968,2.620577
969,2.2670574
970,2.4086232
971,2.3548496
972,2.0133262
973,2.3464227
974,1.9924302
975,2.3326373
976,2.0358968
977,2.3869302
978,2.6191607
979,2.406294
980,2.1138866
981,2.4179606
982,2.607078
983,2.2433913
984,2.5293958
985,2.356478
986,2.3592825
987,2.3522148
988,2.3966546
989,1.911335
990,2.3485098
991,2.4357102
992,2.169277
993,2.4792604
994,2.2457778
995,0.8061336
996,2.1915827
997,2.4788759
998,2.1804488
999,2.4092457
1000,2.824092
1001,2.6385856
1002,2.448625
1003,2.4686103
1004,2.5028298
1005,1.986268
1006,2.5113397
1007,2.1944125
1008,2.350016
1009,2.1771498
1010,2.0864885
1011,1.9864156
1012,2.6084313
1013,2.0037982
1014,2.112128
1015,2.6625643
1016,2.1443846
1017,2.4966762
1018,2.6042082
1019,2.413156
1020,2.1565497
1021,2.0442593
1022,2.5648732
1023,2.4926927
1024,2.2053378
1025,1.9703571
1026,2.0738378
1027,2.097777
1028,2.7301373
1029,2.5012817
1030,2.263703
1031,2.5560355
1032,-2.2602086
1033,1.9842759
1034,2.0732021
1035,2.2134373
1036,1.9858544
1037,2.372085
1038,1.944513
1039,2.271042
1040,2.82476
1041,2.3669102
1042,2.5990376
1043,2.3364928
1044,2.5792654
1045,2.048452
1046,2.5096493
1047,2.0440423
1048,1.9578216
1049,2.709413
1050,2.5418744
1051,2.5569434
1052,2.5476995
1053,2.1300251
1054,2.2568076
1055,2.144163
1056,2.181354
1057,2.4815028
1058,2.1624694
1059,2.034542
1060,2.4991682
1061,2.142726
1062,2.292198
1063,2.0180492
1064,2.246581
1065,2.5289233
1066,2.0319066
1067,2.0820756
1068,2.2794397
1069,2.4965231
1070,2.142828
1071,2.313458
1072,2.705893
1073,2.4596593
1074,2.1176534
1075,2.515389
1076,2.601696
1077,2.3546891
1078,2.8005178
1079,2.1943195
1080,2.5253465
1081,2.5290287
1082,2.5300527
1083,2.3081403
1084,2.6225245
1085,2.5176003
1086,2.240342
1087,2.5756063
1088,2.4174254
1089,2.387715
1090,2.7025778
1091,2.278294
1092,2.4510503
1093,2.7073545
1094,2.4896896
1095,2.5676696
1096,1.8462105
1097,0.94868195
1098,2.4367738
1099,2.4072583
1100,2.2666154
1101,2.1380439
1102,2.6992023
1103,1.9771899
1104,1.6664655
1105,2.0664308
1106,2.5346603
1107,2.4020755
1108,2.343661
1109,2.4997246
1110,2.5555816
1111,0.4978752
1112,2.1114612
1113,2.4180748
1114,2.3358116
1115,2.508235
1116,1.9824553
1117,1.647833
1118,2.580046
1119,2.2825155
1120,0.41110706
1121,2.1078913
1122,2.0265102
1123,2.5253048
1124,2.0035667
1125,2.4899557
1126,2.6193247
1127,2.3070848
1128,2.6481051
1129,1.844292
1130,2.3936553
1131,2.5622888
1132,2.620267
1133,2.4421353
1134,2.0478086
1135,2.3611598
1136,2.2291348
1137,2.6031048
1138,1.8609232
1139,2.3513377
1140,2.0805326
1141,2.104108
1142,2.0674288
1143,2.176434
1144,2.4188645
1145,2.2443469
1146,2.1838841
1147,2.005145
1148,2.4711075
1149,2.3664489
1150,2.3532114
1151,2.223035
1152,2.725955
1153,2.4338317
1154,2.6069849
1155,2.5839949
1156,2.653314
1157,2.4120038
1158,2.2498853
1159,2.334265
1160,2.3984
1161,2.024281
1162,2.2879345
1163,2.5440402
1164,2.502618
1165,1.8162165
1166,2.486313
1167,2.0361476
1168,2.6605585
1169,1.9986831
1170,2.264144
1171,2.4798203
1172,2.5302439
1173,2.0389192
1174,2.5857701
1175,2.070062
1176,2.2730381
1177,2.0372975
1178,2.2565396
1179,2.5613754
1180,2.4743595
1181,2.6277356
1182,2.214014
1183,1.9834318
1184,2.1300156
1185,2.2582688
1186,2.3606045
1187,2.340346
1188,2.0634885
1189,2.560911
1190,2.389453
1191,2.571149
1192,2.6240253
1193,2.1879935
1194,1.877355
1195,2.5694451
1196,2.37874
1197,2.63377
1198,2.5455842
1199,2.0010304
1200,2.5883856
1201,1.8906468
1202,2.2453732
1203,2.327413
1204,2.337817
1205,2.5926445
1206,2.3698843
1207,2.1324034
1208,2.4216523
1209,2.6373806
1210,2.3706512
1211,2.6464102
1212,2.5183408
1213,1.8623598
1214,2.145184
1215,2.439409
1216,2.40981
1217,2.605886
1218,2.265913
1219,2.3042295
1220,2.5033343
1221,1.87343
1222,1.4515046
1223,2.1897705
1224,2.2986135
1225,2.6106703
1226,2.4017217
1227,2.4250422
1228,2.141261
1229,2.670066
1230,2.5875392
1231,2.592038
1232,2.5729296
1233,2.2078915
1234,2.2309873
1235,1.9812332
1236,2.1545475
1237,2.1874113
1238,2.4310822
1239,2.1422217
1240,2.3437576
1241,2.237912
1242,2.452655
1243,2.5228395
1244,-1.0390935
1245,2.2181158
1246,2.2057283
1247,2.075827
1248,2.4816225
1249,1.9687144
1250,2.0673144
1251,2.660298
1252,2.508082
1253,2.3669536
1254,2.1201375
1255,1.9873973
1256,2.19119
1257,2.3898408
1258,2.3495712
1259,2.5281444
1260,2.2725384
1261,2.4568393
1262,1.9937246
1263,2.5960324
1264,2.1295092
1265,2.4402318
1266,2.3832834
1267,2.0605447
1268,2.6207528
1269,2.3578103
1270,2.148072
1271,2.3082974
1272,2.3139377
1273,2.3458943
1274,2.0136316
1275,2.3631103
1276,1.6279235
1277,2.5252125
1278,2.4472477
1279,2.1404448
1280,2.491718
1281,2.6556315
1282,2.012976
1283,2.3414881
1284,2.0274475
1285,2.3302732
1286,2.014032
1287,2.51107
1288,2.1498995
1289,1.9782753
1290,2.164514
1291,2.0464294
1292,2.0385783
1293,2.5364618
1294,2.0776944
1295,2.2471404
1296,2.1198366
1297,2.2992136
1298,2.203398
1299,1.8622062
1300,2.5750937
1301,2.1299677
1302,2.380369
1303,2.3553183
1304,2.550299
1305,2.0802932
1306,2.251624
1307,1.9680389
1308,2.391154
1309,2.262666
1310,2.9938507
1311,1.4114969
1312,2.2644627
1313,2.097894
1314,2.4505234
1315,2.2267506
1316,2.0400434
1317,2.2683709
1318,2.2072735
1319,2.2144337
1320,2.3627982
1321,2.6482027
1322,2.3985276
1323,2.300105
1324,1.687649
1325,2.3488853
1326,2.6497147
1327,2.360036
1328,2.2363398
1329,2.0680764
1330,2.092301
1331,2.6245356
1332,2.3956335
1333,1.9525361
1334,2.0442545
1335,2.6000533
1336,2.3986502
1337,2.3688858
1338,2.4223282
1339,2.0126405
1340,2.2422132
1341,2.3153803
1342,2.6473112
1343,2.4737642
1344,2.027056
1345,2.3292704
1346,2.4126947
1347,2.5676317
1348,2.3012333
1349,2.4740784
1350,2.270097
1351,2.2870386
1352,1.7121954
1353,2.6692395
1354,2.4944777
1355,2.0231707
1356,0.4692018
1357,1.4992557
1358,2.2789905
1359,2.4985213
1360,2.050819
1361,1.88856
1362,2.0995724
1363,2.389483
1364,2.1381226
1365,2.5469816
1366,2.3255584
1367,2.6649776
1368,2.6506863
1369,2.6384468
1370,2.1512458
1371,2.6042883
1372,2.5970526
1373,2.4965441
1374,2.006586
1375,1.8098385
1376,1.9505389
1377,2.541111
1378,2.338301
1379,2.2522979
1380,2.2984846
1381,2.5845954
1382,2.3344262
1383,2.0501878
1384,2.1669273
1385,2.0270026
1386,2.7223747
1387,2.4294255
1388,2.1009908
1389,2.393243
1390,2.1562533
1391,2.004522
1392,2.4224534
1393,2.4334056
1394,2.5132525
1395,2.0920603
1396,2.1382678
1397,2.0856757
1398,2.1229181
1399,2.1091127
1400,2.6151476
1401,1.9644079
1402,2.2754703
1403,2.5413508
1404,0.97109556
1405,2.6604192
1406,2.274678
1407,2.0467398
1408,2.3875558
1409,2.292828
1410,2.0268717
