data_index,contribution_score
0,2.2276661
1,1.7666187
2,1.5552931
3,1.7142559
4,2.3389456
5,2.5061748
6,2.146407
7,2.572752
8,1.9795321
9,1.719563
10,2.5157137
11,2.443189
12,2.4884958
13,2.1692247
14,2.0245452
15,2.3691018
16,2.407888
17,2.1130528
18,2.153788
19,2.126485
20,2.0367177
21,1.4382081
22,2.4200323
23,1.837817
24,0.1837852
25,2.4652498
26,1.7410873
27,2.4661567
28,2.718698
29,1.4127331
30,2.169903
31,2.284779
32,2.2588592
33,2.2922807
34,1.9019146
35,2.3736668
36,2.041281
37,2.043628
38,2.3056998
39,2.2020793
40,2.1562881
41,1.9179621
42,1.9314387
43,2.4123201
44,2.5334811
45,2.3594944
46,1.5317159
47,2.3870013
48,1.2822622
49,2.5675483
50,2.5340242
51,1.7397782
52,2.2741535
53,1.6697266
54,2.2390099
55,1.6975505
56,1.7214165
57,2.3761425
58,1.7768126
59,1.6470408
60,1.545391
61,1.7637484
62,2.2336633
63,1.3292823
64,1.6457133
65,2.5500546
66,2.2406678
67,1.5552162
68,1.844144
69,1.9180946
70,1.9065266
71,2.2120817
72,1.9423258
73,2.3189228
74,2.4396255
75,1.9217798
76,2.4627159
77,1.9420407
78,1.8957014
79,2.096816
80,-0.7698338
81,1.7445326
82,2.3001122
83,2.1993105
84,2.2929213
85,2.0305734
86,2.329107
87,2.539731
88,1.7080526
89,1.8475391
90,2.2794523
91,2.3925724
92,1.5928054
93,2.097756
94,1.7870755
95,2.076796
96,2.2089007
97,2.0398412
98,2.4736402
99,1.6088073
100,2.166699
101,2.3723526
102,2.0216677
103,2.2861066
104,2.1315095
105,1.8595712
106,2.2284513
107,2.6779032
108,1.8197389
109,2.4252193
110,2.6344695
111,2.6139345
112,2.1831777
113,2.0032737
114,1.8518198
115,1.6029652
116,2.5806954
117,2.6013741
118,1.5423459
119,1.9557517
120,2.526731
121,2.0183434
122,2.1988375
123,2.317269
124,1.8260614
125,1.698514
126,2.4223347
127,1.4383935
128,2.238905
129,2.2623625
130,2.5130641
131,1.9150605
132,0.77574587
133,2.3376937
134,-2.1003778
135,2.6243458
136,2.426783
137,1.6353819
138,2.4044056
139,1.6898507
140,2.041272
141,1.6772665
142,1.4770489
143,2.2056413
144,1.6824958
145,2.4415133
146,1.8353652
147,2.3476114
148,0.84253836
149,2.5433471
150,1.8489912
151,2.2584643
152,1.7327535
153,2.4548898
154,2.2739353
155,2.3202138
156,1.7958515
157,2.6307995
158,2.3490777
159,2.451009
160,0.9847077
161,2.624384
162,2.38558
163,1.6251041
164,1.913122
165,2.219647
166,1.6799827
167,2.4597507
168,1.9464157
169,1.968799
170,2.49091
171,2.487981
172,1.6891925
173,2.5017953
174,2.0469086
175,2.472152
176,2.3919296
177,2.1095316
178,1.6914837
179,2.572731
180,2.3283107
181,2.6073263
182,2.4996293
183,2.3171155
184,2.0663388
185,2.3562627
186,2.1188498
187,2.3298464
188,1.837302
189,2.535561
190,2.263421
191,2.4776094
192,1.9923592
193,2.4421747
194,1.7718978
195,2.3290493
196,2.2230613
197,2.1517992
198,2.5629654
199,2.2977853
200,1.9554689
201,1.8988632
202,1.5307137
203,2.5514462
204,2.2467346
205,1.8330902
206,1.7655504
207,2.4244413
208,2.3038542
209,1.8387537
210,1.7875276
211,2.2816632
212,0.913208
213,2.3312492
214,2.2454455
215,2.6328454
216,1.8635865
217,1.7808034
218,2.0698392
219,2.4180722
220,2.423024
221,2.1937177
222,1.8128514
223,2.3589292
224,-0.6418462
225,2.0535536
226,2.301735
227,2.3450084
228,1.2271446
229,1.7989018
230,2.3488925
231,2.031934
232,1.8336532
233,2.376206
234,1.6129298
235,2.6097953
236,2.3385937
237,1.4326521
238,2.0371487
239,2.4406981
240,1.4442334
241,2.2153938
242,2.606726
243,2.2217877
244,2.5384464
245,2.0821383
246,0.9585362
247,2.4127927
248,2.2134323
249,1.9608979
250,1.789122
251,2.3247497
252,2.3460145
253,2.5573366
254,2.1605458
255,2.6264365
256,2.040627
257,1.7260702
258,2.4242947
259,2.464269
260,2.0511658
261,2.3090813
262,1.1814804
263,2.33635
264,2.464642
265,2.0891223
266,2.5668662
267,2.402917
268,2.2766924
269,1.9533088
270,1.9073586
271,1.7209064
272,1.5165787
273,2.435699
274,2.2567456
275,1.7169355
276,1.947633
277,2.5487893
278,1.3707815
279,2.3896987
280,2.3538573
281,2.5832958
282,1.8844371
283,1.9177679
284,2.5209072
285,2.3220582
286,2.0288587
287,2.422552
288,2.4134693
289,1.7478395
290,1.9817045
291,2.6842341
292,1.3924559
293,2.0446599
294,1.7071844
295,2.0328135
296,1.9763694
297,1.4843684
298,2.4802876
299,2.246673
300,1.739279
301,2.3869548
302,2.4144545
303,1.943786
304,1.8808345
305,2.296299
306,2.5479155
307,2.38765
308,2.2932646
309,1.856431
310,2.1389275
311,2.1577554
312,2.0187294
313,2.33537
314,1.5204271
315,1.8407131
316,2.4673762
317,2.4677882
318,2.1531053
319,2.5308409
320,1.8594888
321,2.650175
322,2.4394903
323,2.0340917
324,2.088831
325,2.5307875
326,1.9367987
327,2.682686
328,2.5216146
329,1.7928531
330,2.4424381
331,2.2732599
332,2.582551
333,1.9573904
334,2.7504535
335,2.4362278
336,1.7799942
337,2.4098792
338,1.3957288
339,2.4505327
340,1.786019
341,2.6098523
342,1.8413788
343,2.188685
344,2.4938252
345,1.8363373
346,1.7076559
347,2.514231
348,1.81271
349,2.4726927
350,2.3729463
351,1.5432813
352,2.1372046
353,2.3950667
354,1.7098025
355,1.974466
356,2.2815843
357,1.8944757
358,2.0789952
359,1.6363841
360,2.4009721
361,2.5424638
362,2.2686775
363,1.5650005
364,1.9304693
365,2.5589418
366,1.7347548
367,2.2674994
368,1.9188559
369,1.6360261
370,1.494739
371,2.216596
372,1.866661
373,1.4443519
374,2.3935854
375,2.5251412
376,2.3834362
377,2.3052828
378,2.3167114
379,1.6765189
380,1.7187257
381,2.4783535
382,2.063393
383,2.4888415
384,2.1296978
385,2.5052743
386,2.054811
387,2.546153
388,2.0548391
389,2.3843238
390,1.790816
391,1.9944322
392,2.6436927
393,2.0934155
394,1.9444079
395,2.302911
396,2.3785887
397,1.8636894
398,2.1156554
399,1.9425595
400,2.0719547
401,2.3572326
402,1.6830033
403,2.4284205
404,1.7653116
405,2.6015596
406,2.2478008
407,2.4390137
408,1.9838046
409,2.4645057
410,2.2370281
411,2.280041
412,1.5983154
413,1.4698781
414,1.2225674
415,2.023819
416,2.04583
417,2.5249786
418,-0.4425702
419,2.4803672
420,2.3704288
421,2.3485575
422,2.2992172
423,2.518725
424,2.3751562
425,2.5766747
426,2.1151466
427,2.149612
428,2.4887905
429,1.8020822
430,2.4086504
431,2.1817088
432,2.0581093
433,2.5915422
434,2.5080569
435,1.8574212
436,2.3344624
437,2.3408818
438,1.8948742
439,2.086841
440,1.6145288
441,2.3039153
442,1.5480596
443,1.8102432
444,1.8975925
445,2.0282702
446,2.32157
447,1.905091
448,2.3302996
449,2.352719
450,1.9728563
451,2.0146968
452,1.2032201
453,1.9640856
454,2.0944047
455,1.8571
456,2.0310378
457,2.550041
458,1.8333541
459,2.4645424
460,2.4180775
461,1.3276883
462,1.8589885
463,2.487796
464,2.0775537
465,2.224769
466,1.6231456
467,2.3968112
468,2.267243
469,2.1147647
470,0.9815585
471,2.5006244
472,1.9125555
473,1.8381113
474,2.6793115
475,1.8374375
476,2.1260915
477,2.6235218
478,2.5453641
479,2.4912353
480,2.57405
481,1.7815235
482,2.4229937
483,2.4817083
484,2.1493518
485,1.9658906
486,2.486508
487,2.5408537
488,1.8185254
489,1.9706068
490,2.635302
491,2.0791166
492,1.7050778
493,2.4445853
494,0.35454166
495,2.5652633
496,2.2700055
497,2.3182387
498,2.0951684
499,2.1104782
500,-0.90668535
501,2.2397428
502,2.1028013
503,1.9316742
504,2.5615895
505,2.315461
506,2.1133392
507,1.9481692
508,1.9860646
509,2.351176
510,1.8327827
511,2.295222
512,2.3162727
513,2.5492465
514,1.6825247
515,2.4932632
516,2.3520212
517,1.6245531
518,1.6629388
519,2.0064085
520,2.4536645
521,2.3262455
522,2.3746903
523,2.2674
524,1.9070165
525,2.459646
526,2.0014026
527,1.8797691
528,1.7353165
529,2.4965467
530,2.4398985
531,1.412404
532,2.037976
533,1.9632835
534,2.2193124
535,1.9673455
536,2.0193052
537,2.405705
538,1.8229967
539,1.6744287
540,2.584256
541,1.5186833
542,1.8053317
543,1.8795455
544,2.0722885
545,1.8097212
546,2.4945562
547,2.009492
548,2.4852078
549,2.6339784
550,2.5343902
551,2.409064
552,2.0775447
553,1.6688294
554,2.5564
555,2.5793524
556,2.2582407
557,2.5592086
558,2.193706
559,1.7826972
560,2.3127155
561,2.4114554
562,2.1265879
563,2.501244
564,1.4704144
565,2.1038084
566,2.532097
567,2.3174071
568,1.881474
569,1.7366678
570,2.4673176
571,1.9452789
572,2.1502855
573,1.7600956
574,2.5204692
575,2.0879643
576,1.2852676
577,2.0113559
578,2.1849048
579,2.255308
580,2.4181216
581,2.5997093
582,1.9557604
583,2.49736
584,2.052803
585,1.8319569
586,2.1383698
587,2.116848
588,1.573337
589,2.3906722
590,1.7228546
591,2.6100433
592,1.9420056
593,2.0222173
594,1.4532846
595,2.4898431
596,1.8497038
597,2.282705
598,2.3459594
599,2.1635993
600,2.4845474
601,2.4962363
602,1.684838
603,2.1264184
604,1.6173269
605,1.6636236
606,1.893466
607,1.7917945
608,2.2727687
609,1.854326
610,2.4529908
611,1.9226234
612,2.0650885
613,2.4397485
614,2.5003302
615,2.0417764
616,1.8598595
617,2.2250223
618,2.1185503
619,2.4619446
620,2.586431
621,2.398453
622,1.4729209
623,2.3191197
624,2.310285
625,2.3665903
626,1.9676588
627,0.94859433
628,1.3868697
629,2.5522811
630,1.9854319
631,2.3595126
632,2.216344
633,2.1219192
634,2.4232316
635,-1.1828625
636,2.0596945
637,1.7598629
638,2.1004393
639,1.9899675
640,2.2832694
641,2.4246445
642,2.43657
643,2.5911908
644,1.889956
645,2.4720652
646,2.1975205
647,1.3376528
648,1.7762805
649,2.5383422
650,2.3718016
651,2.1743634
652,2.4911149
653,2.3938463
654,2.2330966
655,1.702608
656,1.9502351
657,2.5149662
658,2.193294
659,2.3639753
660,2.215732
661,1.6032543
662,1.7583476
663,1.5007432
664,2.4434586
665,2.459241
666,1.8406435
667,2.0448072
668,1.911269
669,1.9242119
670,0.021585703
671,1.965255
672,2.373223
673,2.3166246
674,2.147686
675,2.5912845
676,1.8437991
677,1.6755507
678,2.20507
679,2.294011
